status_pedido,nota_fiscal,pedido_id,data_do_pedido,data_de_faturamento,canal_de_vendas,cod_representante,representante,cnpj_pdv,centro_distribuicao,uf_centro_distribuicao,ean,sku_produto,produto,quantidade_solicitada,quantidade_atendida,quantidade_faturada,quantidade_cancelada,preco_unitario_com_imposto,preco_unitario_sem_imposto,desconto_digitado,desconto_aplicado_em_nota,valor_total_solicitado_com_imposto,valor_total_solicitado_sem_imposto,total_atendido_sem_imposto,total_atendido_com_imposto,valor_faturado
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004700540,11028,Enalapril 20 mg Caixa 30 Comprimidos,2,2,2,0,"28,65","3,84","0,00","86,61","57,30","7,67","7,67","57,30","7,67"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004746937,11254,Ezetimiba 10 mg Caixa 30 Comprimidos,3,3,3,0,"74,65","17,15","0,00","77,02","223,95","51,46","51,46","223,95","51,46"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004752471,11360,Ibandronato De Sódio 150 mg Caixa 1 Comprimido Revestido,2,2,2,0,"72,95","17,46","0,00","76,07","145,90","34,91","34,91","145,90","34,91"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004733234,11095,Prednisolona 20 mg Caixa 10 Comprimidos,3,3,3,0,"17,54","5,87","0,00","66,54","52,62","17,61","17,61","52,62","17,61"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004730370,10963,Quetiapina 100 mg Caixa 30 Comprimidos Revestidos,2,2,2,0,"123,40","26,30","0,00","78,69","246,80","52,59","52,59","246,80","52,59"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004729640,10947,Rosuvastatina Cálcica 10 mg Caixa 30 Comprimidos Revestidos,2,2,2,0,"85,26","7,37","0,00","91,36","170,52","14,73","14,73","170,52","14,73"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004728858,10939,Rosuvastatina Cálcica 20 mg Caixa 30 Comprimidos Revestidos,4,4,4,0,"158,01","11,57","0,00","92,68","632,04","46,27","46,27","632,04","46,27"
Faturado,41179010-F3YO2,8677683,2026-03-04,2026-03-04,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,31499324000573,PROFARMA,DF,7896004715711,10552,Timolol 5 mg/ml Frasco 5 ml Solução Oftálmica,2,2,2,0,"11,56","3,96","0,00","65,72","23,12","7,93","7,93","23,12","7,93"
Faturado,41797010-HNHRB,8679602,2026-03-04,2026-03-09,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,08957678000179,PROFARMA,DF,7896004747637,11268,Aripiprazol 15 mg Caixa 30 Comprimidos,2,2,2,0,"326,36","70,79","0,00","78,31","652,72","141,58","141,58","652,72","141,58"
Cancelado,,8679687,2026-03-04,,Bússola - Representante,3726,MAURICIO BARROS DE AGUIAR / MAURICIO BARROS DE AGUIAR,23359127000105,PANPHARMA,GO,7896004792316,37360,Naratriptana 2.5 mg Caixa 10 Comprimidos,10,0,0,10,"31,51","19,04","0,00","0,00","315,10","190,45","0,00","0,00","0,00"
